text,characters,words,page_number,font_size,is_bold,font_threshold_flag,y_position,x_position,relative_font_size,text_case,verbs,nouns,adjectives,adverbs,pronouns,cardinal_numbers,coordinating_conjunctions,starts_with_number,ends_with_colon,has_punctuation,relative_y_position,avg_word_length,word_density,verb_ratio,noun_ratio,adjective_ratio,is_short,is_very_short,is_heading
by means of a semi-structured interview. The gathered data were subjected to,76,12,1,9.479999542236328,0,0,309.84259033203125,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.642321662782933,6.333333333333333,0.15789473684210525,0.0,0.0,0.0,0,0,0
"qualitative and quantitative analysis. The results of the study demonstrated that, on the",89,13,1,9.479999542236328,0,0,321.3625793457031,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.6271886716821198,6.846153846153846,0.14606741573033707,0.0,0.0,0.0,0,0,0
"one hand, some subjects manifested heightened awareness relating to the",71,10,1,9.479999542236328,0,0,332.882568359375,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.6120556805813064,7.1,0.14084507042253522,0.0,0.0,0.0,1,0,0
"advantageous role of mobile devices in their learning endeavors, their ability to reach",87,13,1,9.479999542236328,0,0,344.402587890625,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.596922649391719,6.6923076923076925,0.14942528735632185,0.0,0.0,0.0,0,0,0
"for suitable tools and retrieve necessary information so as to achieve their goals, meet",88,14,1,9.479999542236328,0,0,356.0425720214844,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.5816320292308099,6.285714285714286,0.1590909090909091,0.0,0.0,0.0,0,0,0
"their needs and adjust their learning of English to their personal learning styles, and on",90,15,1,9.479999542236328,0,0,367.5625915527344,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.5664989980412224,6.0,0.16666666666666666,0.0,0.0,0.0,0,0,0
"the other, a rather intuitive and/or ad hoc use of their mobile devices in the classroom.",89,16,1,9.479999542236328,0,0,379.1025695800781,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.5513397487933179,5.5625,0.1797752808988764,0.0,0.0,0.0,0,0,0
"Keywords: Learner autonomy, mobile devices, advanced EFL learners, learning",75,9,1,9.479999542236328,1,0,395.902587890625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.5292707583380942,8.333333333333334,0.12,0.0,0.0,0.0,1,0,0
English.,8,1,1,9.479999542236328,0,0,407.4225769042969,85.10399627685547,1.0,2,0,0,0,0,0,0,0,0,0,1,0.5141377672372809,8.0,0.125,0.0,0.0,0.0,1,1,0
1. Introduction ,16,2,1,9.479999542236328,1,0,441.0225830078125,85.10399627685547,1.0,2,0,0,0,0,0,0,0,1,0,1,0.4699998264156078,8.0,0.125,0.0,0.0,0.0,1,1,0
"Mobile devices, smartphones and tablet computers in particular, have generated a lot of",87,13,1,9.479999542236328,0,0,457.82257080078125,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.4479308760491583,6.6923076923076925,0.14942528735632185,0.0,0.0,0.0,0,0,0
"interest among researchers in recent years (Byrne & Diem, 2014). This is because the",84,14,1,9.479999542236328,0,0,469.34259033203125,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.43279784485957085,6.0,0.16666666666666666,0.0,0.0,0.0,0,0,0
"opportunities these new technologies may offer (e.g. individualized learning, the variety",89,11,1,9.479999542236328,0,0,480.8625793457031,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.41766485375875756,8.090909090909092,0.12359550561797752,0.0,0.0,0.0,0,0,0
"of mobile apps available, easy access to the internet) and/or the fact that they are",84,15,1,9.479999542236328,0,0,492.5025634765625,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.4023742335978484,5.6,0.17857142857142858,0.0,0.0,0.0,0,0,0
increasingly more common among learners make them an important and potentially,78,11,1,9.479999542236328,0,0,504.0225830078125,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.38724120240826093,7.090909090909091,0.14102564102564102,0.0,0.0,0.0,0,0,0
useful addition to formal and informal language learning.,57,8,1,9.479999542236328,0,0,515.5425415039062,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.37210825139622183,7.125,0.14035087719298245,0.0,0.0,0.0,1,0,0
"According to Benson (2011), there has always been a connection between educational",82,12,1,9.479999542236328,0,0,532.3726196289062,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.34999977349842587,6.833333333333333,0.14634146341463414,0.0,0.0,0.0,0,0,0
technologies and learner autonomy to the extent that they have often been intended for,86,14,1,9.479999542236328,0,0,543.892578125,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.3348668224863868,6.142857142857143,0.16279069767441862,0.0,0.0,0.0,0,0,0
"independent practice. It should be noted, however, that this link and “future enquiry",85,13,1,9.479999542236328,0,0,555.5325927734375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.31957616223670343,6.538461538461538,0.15294117647058825,0.0,0.0,0.0,0,0,0
and practice into technology-mediated learner autonomy will need to be increasingly,83,11,1,9.479999542236328,0,0,567.0525512695312,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.30444321122466433,7.545454545454546,0.13253012048192772,0.0,0.0,0.0,0,0,0
"aligned to the tools, settings, and activities that are of significance to language learners”",93,14,1,9.479999542236328,0,0,578.5725708007812,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.28931018003507686,6.642857142857143,0.15053763440860216,0.0,0.0,0.0,0,0,0
"(Reinders & White, 2016, p. 151). Reinders and White (2016) further argue that as long",86,15,1,9.479999542236328,0,0,590.0925903320312,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.2741771488454894,5.733333333333333,0.1744186046511628,0.0,0.0,0.0,0,0,0
"as “the potential range of settings, tools, and experiences is now virtually limitless,",87,13,1,9.479999542236328,0,0,601.6126098632812,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.25904411765590196,6.6923076923076925,0.14942528735632185,0.0,0.0,0.0,0,0,0
individuals need to be increasingly adept at critical adaptive learning in order to benefit,91,14,1,9.479999542236328,0,0,613.2525634765625,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.243753537583767,6.5,0.15384615384615385,0.0,0.0,0.0,0,0,0
"from and contribute effectively to those settings” (p. 151). Beyond doubt, contemporary",87,12,1,9.479999542236328,0,0,624.7725830078125,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.22862050639417952,7.25,0.13793103448275862,0.0,0.0,0.0,0,0,0
language teachers should equip foreign/second language learners with appropriate,80,9,1,9.479999542236328,0,0,636.2925415039062,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.21348755538214043,8.88888888888889,0.1125,0.0,0.0,0.0,1,0,0
knowledge concerning the affordances of mobile devices for language study and they,82,12,1,9.479999542236328,0,0,647.8125610351562,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.19835452419255295,6.833333333333333,0.14634146341463414,0.0,0.0,0.0,0,0,0
should prepare them for effective usage of such devices for this purpose. It is also of,87,16,1,9.479999542236328,0,0,659.3325805664062,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.18322149300296547,5.4375,0.1839080459770115,0.0,0.0,0.0,0,0,0
"paramount importance, for both researchers and practitioners, to comprehend the link",84,11,1,9.479999542236328,0,0,670.9725952148438,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.1679308327532822,7.636363636363637,0.13095238095238096,0.0,0.0,0.0,0,0,0
between the modalities of the language learners' organization of their own learning,83,12,1,9.479999542236328,0,0,682.5125732421875,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.15277158350537764,6.916666666666667,0.14457831325301204,0.0,0.0,0.0,0,0,0
"experiences and environments and the role mobile technologies, in particular",76,10,1,9.479999542236328,0,0,694.0325927734375,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.13763855231579017,7.6,0.13157894736842105,0.0,0.0,0.0,1,0,0
"smartphones and tablets, play in these contexts.",48,7,1,9.479999542236328,0,0,705.5525512695312,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.12250560130375109,6.857142857142857,0.14583333333333334,0.0,0.0,0.0,1,0,0
"Taking into consideration the above-mentioned issues, the study reported in this article",88,12,1,9.479999542236328,0,0,722.3526000976562,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.10043657075975322,7.333333333333333,0.13636363636363635,0.0,0.0,0.0,0,0,0
investigated ways advanced English language students use their mobile devices (i.e.,83,11,1,9.479999542236328,0,0,733.87255859375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.08530361974771412,7.545454545454546,0.13253012048192772,0.0,0.0,0.0,0,0,0
smartphones and tablet computers) for their language learning. The article commences,84,11,1,9.479999542236328,0,0,745.5125732421875,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.07001295949803082,7.636363636363637,0.13095238095238096,0.0,0.0,0.0,0,0,0
"with a short overview of relevant literature. Next, the design of the study is described,",89,15,1,9.479999542236328,0,0,757.0325927734375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.05487992830844335,5.933333333333334,0.16853932584269662,0.0,0.0,0.0,0,0,0
"The EUROCALL Review, Volume 25, No. 2, September 2017",53,9,2,11.039999961853027,0,1,37.559967041015625,166.6999969482422,1.1645570142346964,3,0,0,0,0,0,0,0,0,0,1,1.0,5.888888888888889,0.16981132075471697,0.0,0.0,0.0,1,0,0
19,2,1,2,8.039999961853027,0,0,798.8099365234375,293.57000732421875,0.8481013027513706,3,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.5,0.0,0.0,0.0,1,1,0
"namely a research question, description of participants, data collection tools and",82,11,2,9.479999542236328,0,0,70.89258575439453,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.9562133069955432,7.454545454545454,0.13414634146341464,0.0,0.0,0.0,0,0,0
analysis. This is followed by the presentation of the results of the study. The article,87,15,2,9.479999542236328,0,0,82.53260040283203,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.9409226467458599,5.8,0.1724137931034483,0.0,0.0,0.0,0,0,0
closes with discussion and conclusions.,39,5,2,9.479999542236328,0,0,94.05255889892578,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.9257896957338207,7.8,0.1282051282051282,0.0,0.0,0.0,1,1,0
2. Literature review ,21,3,2,9.479999542236328,1,0,110.85260772705078,85.10399627685547,1.0,3,0,0,0,0,0,0,0,1,0,1,0.903720665189823,7.0,0.14285714285714285,0.0,0.0,0.0,1,1,0
2.1. Autonomy in foreign/second language learning ,50,6,2,9.479999542236328,0,0,127.65259552001953,120.5,1.0,3,0,0,0,0,0,0,0,0,0,1,0.8816517148233735,8.333333333333334,0.12,0.0,0.0,0.0,1,0,0
The concept of autonomy in second/foreign language learning and teaching has been,81,12,2,9.479999542236328,0,0,144.45257568359375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,0,0.8595827744791176,6.75,0.14814814814814814,0.0,0.0,0.0,0,0,0
the focus of attention for many researchers and practitioners for more than three,81,13,2,9.479999542236328,0,0,155.97259521484375,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.84444974328953,6.230769230769231,0.16049382716049382,0.0,0.0,0.0,0,0,0
"decades. According to Benson (2001), the notion of autonomy was introduced and",78,12,2,9.479999542236328,0,0,167.4925537109375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.829316792277491,6.5,0.15384615384615385,0.0,0.0,0.0,0,0,0
popularized in 1981 by Henri Holec in his seminal report for the Council of Europe,82,15,2,9.479999542236328,0,0,179.0125732421875,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,0,0.8141837610879035,5.466666666666667,0.18292682926829268,0.0,0.0,0.0,0,0,0
entitled Autonomy in Foreign Language Learning in which the researcher defined,78,11,2,9.479999542236328,0,0,190.652587890625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,0,0.7988931008382202,7.090909090909091,0.14102564102564102,0.0,0.0,0.0,0,0,0
autonomy in the context of language learning as “the ability to take charge of one’s own,88,16,2,9.479999542236328,0,0,202.172607421875,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.7837600696486328,5.5,0.18181818181818182,0.0,0.0,0.0,0,0,0
"learning” (Holec, 1981, p. 3). Holec’s idea of autonomy encompasses some components",83,12,2,9.479999542236328,0,0,213.69256591796875,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.7686271186365936,6.916666666666667,0.14457831325301204,0.0,0.0,0.0,0,0,0
and capacities on the part of language learners (e.g. self-directed learning). For some,87,13,2,9.479999542236328,0,0,225.2425537109375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.7534547202707563,6.6923076923076925,0.14942528735632185,0.0,0.0,0.0,0,0,0
"other authors autonomy also involves “a capacity – for detachment, critical reflection,",87,12,2,9.479999542236328,0,0,236.7625732421875,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.7383216890811689,7.25,0.13793103448275862,0.0,0.0,0.0,0,0,0
"decision-making, and independent action” (Little, 1991, p. 4) and “the capacity to take",87,13,2,9.479999542236328,0,0,248.402587890625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.7230310288314856,6.6923076923076925,0.14942528735632185,0.0,0.0,0.0,0,0,0
"control of one’s own learning” (Benson, 2001, p. 46). As stated by Benson (2011, p.",83,15,2,9.479999542236328,0,0,259.922607421875,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.7078979976418981,5.533333333333333,0.18072289156626506,0.0,0.0,0.0,0,0,0
"16), “autonomy is multidimensional and takes many different forms according to the",82,12,2,9.479999542236328,0,0,271.44256591796875,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.692765046629859,6.833333333333333,0.14634146341463414,0.0,0.0,0.0,0,0,0
"person, the setting, and multiple contextual and micro-contextual factors” and it is “a",87,13,2,9.479999542236328,0,0,282.96258544921875,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.6776320154402715,6.6923076923076925,0.14942528735632185,0.0,0.0,0.0,0,0,0
"multi-faceted concept that consists of several layers” (Reinders, 2011, p. 48) whose",84,12,2,9.479999542236328,0,0,294.60260009765625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.6623413551905882,7.0,0.14285714285714285,0.0,0.0,0.0,0,0,0
"roots are based in political, societal and educational developments. In addition to this,",89,13,2,9.479999542236328,0,0,306.12255859375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.6472084041785492,6.846153846153846,0.14606741573033707,0.0,0.0,0.0,0,0,0
work on autonomy emphasizes social dimensions of learner autonomy in view of the,80,13,2,9.479999542236328,0,0,317.642578125,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.6320753729889617,6.153846153846154,0.1625,0.0,0.0,0.0,0,0,0
"fact that “autonomous learners always do things for themselves, but they may or may",83,14,2,9.479999542236328,0,0,329.1625671386719,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.6169423818881484,5.928571428571429,0.1686746987951807,0.0,0.0,0.0,0,0,0
"not do things on their own” (Little, 2009, p. 223) and that by means of social",78,16,2,9.479999542236328,0,0,340.6825866699219,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.6018093506985609,4.875,0.20512820512820512,0.0,0.0,0.0,0,0,0
"interactions language learners “develop a capacity to analyze, reflect upon and",79,11,2,9.479999542236328,0,0,352.32257080078125,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.5865187305376518,7.181818181818182,0.13924050632911392,0.0,0.0,0.0,0,0,0
"synthesize information to create new perspectives” (Lee, 2011, p. 88). It should also be",88,14,2,9.479999542236328,0,0,363.84259033203125,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.5713856993480644,6.285714285714286,0.1590909090909091,0.0,0.0,0.0,0,0,0
noted that recent research shows that fostering autonomy is no longer predominantly a,85,13,2,9.479999542236328,0,0,375.382568359375,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.5562264501001598,6.538461538461538,0.15294117647058825,0.0,0.0,0.0,0,0,0
matter of individualizing learning through out-of-class initiatives since the dominance of,90,11,2,9.479999542236328,0,0,386.902587890625,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.5410934189105723,8.181818181818182,0.12222222222222222,0.0,0.0,0.0,0,0,0
"classroom-based approaches (Benson, 2011). Finally, it has to be added that",75,11,2,9.479999542236328,0,0,398.4225769042969,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.525960427809759,6.818181818181818,0.14666666666666667,0.0,0.0,0.0,0,0,0
"researchers, in general, seem to be in agreement with the following claims suggested",84,13,2,9.479999542236328,0,0,410.0625915527344,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.5106697675600758,6.461538461538462,0.15476190476190477,0.0,0.0,0.0,0,0,0
by Benson (2011): “(a) language learners naturally tend to take control of their,80,13,2,9.479999542236328,0,0,421.58258056640625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,0,0.4955367764592625,6.153846153846154,0.1625,0.0,0.0,0.0,0,0,0
"learning, (b) learners who lack autonomy are capable of developing it, and (c)",78,13,2,9.479999542236328,0,0,433.1025695800781,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.4804037853584492,6.0,0.16666666666666666,0.0,0.0,0.0,0,0,0
autonomous language learning is more effective than non-autonomous language,75,9,2,9.479999542236328,0,0,444.6225891113281,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.4652707541688617,8.333333333333334,0.12,0.0,0.0,0.0,1,0,0
learning” (p. 16).,18,3,2,9.479999542236328,0,0,456.2625732421875,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.44998013400795256,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0
Perhaps in order to define the concept of autonomy in language learning it is necessary,87,15,2,9.479999542236328,0,0,472.94256591796875,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,0,0.4280688127015989,5.8,0.1724137931034483,0.0,0.0,0.0,0,0,0
"to understand who autonomous learners are. As Littlewood (1996) claims, an",74,11,2,9.479999542236328,0,0,484.58258056640625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.4127781524519156,6.7272727272727275,0.14864864864864866,0.0,0.0,0.0,0,0,0
autonomous learner is “one who has independent capacity to make and carry out,77,13,2,9.479999542236328,0,0,496.1025695800781,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.39764516135110234,5.923076923076923,0.16883116883116883,0.0,0.0,0.0,0,0,0
choices which govern his or her actions” (p. 428). The researcher argues that this,82,14,2,9.479999542236328,0,0,507.62261962890625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.3825120900727407,5.857142857142857,0.17073170731707318,0.0,0.0,0.0,0,0,0
"capacity depends on two major components such as ability and willingness, and he",80,13,2,9.479999542236328,0,0,519.142578125,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.3673791390607016,6.153846153846154,0.1625,0.0,0.0,0.0,0,0,0
"claims that the attributes can also be further subdivided. Thus, ability depends on",83,13,2,9.479999542236328,0,0,530.8125610351562,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.3520491116347685,6.384615384615385,0.1566265060240964,0.0,0.0,0.0,0,0,0
having knowledge about the options from which one can choose and skills so as to,80,15,2,9.479999542236328,0,0,542.3325805664062,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.336916080445181,5.333333333333333,0.1875,0.0,0.0,0.0,0,0,0
"choose the most suitable alternatives. When it comes to willingness, this depends on",84,13,2,9.479999542236328,0,0,553.8526000976562,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.32178304925559353,6.461538461538462,0.15476190476190477,0.0,0.0,0.0,0,0,0
having motivation and confidence in order to take responsibility for adequate choices.,86,12,2,9.479999542236328,0,0,565.3726196289062,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.3066500180660061,7.166666666666667,0.13953488372093023,0.0,0.0,0.0,0,0,0
"Moreover, Littlewood (1996) argues that if an individual is to be successful in being",85,14,2,9.479999542236328,0,0,576.892578125,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.29151706705396696,6.071428571428571,0.16470588235294117,0.0,0.0,0.0,0,0,0
"autonomous, all of these components have to be present all together.",68,11,2,9.479999542236328,0,0,588.5325927734375,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.2762264068042837,6.181818181818182,0.16176470588235295,0.0,0.0,0.0,0,0,0
"At the close of this section, a few words are in order on the notion of autonomous",82,17,2,9.479999542236328,0,0,605.3325805664062,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.2541574564378342,4.823529411764706,0.2073170731707317,0.0,0.0,0.0,0,0,0
language learning. An interesting description of the concept in question is offered by,86,13,2,9.479999542236328,0,0,616.8526000976562,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.23902442524824674,6.615384615384615,0.1511627906976744,0.0,0.0,0.0,0,0,0
"Reinders (2011), who defines autonomous language learning as “an act of learning",80,12,2,9.479999542236328,0,0,628.37255859375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.22389147423620762,6.666666666666667,0.15,0.0,0.0,0.0,0,0,0
whereby motivated learners consciously make informed decisions about that learning”,83,10,2,9.479999542236328,0,0,639.892578125,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.20875844304662017,8.3,0.12048192771084337,0.0,0.0,0.0,1,0,0
"(p. 48). According to the said researcher, it is not possible or needed in all acts of",86,17,2,9.479999542236328,0,0,651.41259765625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.1936254118570327,5.0588235294117645,0.19767441860465115,0.0,0.0,0.0,0,0,0
learning to be able or ready to intentionally make decisions since different learning,85,13,2,9.479999542236328,0,0,663.0525512695312,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.17833483178489776,6.538461538461538,0.15294117647058825,0.0,0.0,0.0,0,0,0
situations present different demands. Reinders (2011) further argues that “autonomy is,86,11,2,9.479999542236328,0,0,674.5925903320312,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.16317550235944486,7.818181818181818,0.12790697674418605,0.0,0.0,0.0,0,0,0
"not an either-or concept, but has to be seen as a continuum” (p. 48). This is because a",87,18,2,9.479999542236328,0,0,686.1126098632812,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.1480424711698574,4.833333333333333,0.20689655172413793,0.0,0.0,0.0,0,0,0
learner can display more or less autonomy in different learning circumstances.,78,11,2,9.479999542236328,0,0,697.632568359375,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,1,0.1329095201578183,7.090909090909091,0.14102564102564102,0.0,0.0,0.0,0,0,0
"Autonomy, in Reinders’ terms changes over time between skills and within skills and",83,13,2,9.479999542236328,0,0,709.152587890625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.11777648896823081,6.384615384615385,0.1566265060240964,0.0,0.0,0.0,0,0,0
"thus it is difficult to achieve and is not invariably permanent (Reinders, 2011).",81,13,2,9.479999542236328,0,0,720.7926025390625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.1024858287185475,6.230769230769231,0.16049382716049382,0.0,0.0,0.0,0,0,0
"The EUROCALL Review, Volume 25, No. 2, September 2017",53,9,3,11.039999961853027,0,1,37.559967041015625,166.6999969482422,1.1645570142346964,3,0,0,0,0,0,0,0,0,0,1,1.0,5.888888888888889,0.16981132075471697,0.0,0.0,0.0,1,0,0
20,2,1,3,8.039999961853027,0,0,798.8099365234375,293.57000732421875,0.8481013027513706,3,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.5,0.0,0.0,0.0,1,1,0
2.2. Autonomy and new technologies ,35,5,3,9.479999542236328,0,0,70.89258575439453,120.5,1.0,3,0,0,0,0,0,0,0,0,0,1,0.9562133069955432,7.0,0.14285714285714285,0.0,0.0,0.0,1,1,0
